WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest /Users/tamjid/.local/share/nvim/lazy/vim-dadbod-completion/package.json does not contribute any snippets.
